,word,language,lang
769,limbo,en,
770,lime,en,
771,line,en,
772,lineage,en,
773,linen,en,
774,lining,en,
775,link,en,
776,lint,en,
777,liqueur,en,
778,list,en,
779,lobby,en,
780,locale,en,
781,lock,en,
782,lockjaw,en,
783,locomotive,en,
784,longing,en,
785,loo,en,
786,loom,en,
787,loss,en,
788,lotto,en,
789,love,en,
790,lover,en,
791,lovingly,en,
792,loyalty,en,
793,lug,en,
794,luggage,en,
795,lust,en,
796,machinery,en,
797,magenta,en,
798,magnetism,en,
799,magnitude,en,
800,mailbox,en,
801,maim,en,
802,manatee,en,
803,manger,en,
804,manifestation,en,
805,mankind,en,
806,manner,en,
807,manners,en,
808,manufacturing,en,
809,market,en,
810,martini,en,
811,marvel,en,
812,masculinity,en,
813,masochism,en,
814,mast,en,
815,mastery,en,
816,mating,en,
817,matrimony,en,
818,mayhem,en,
819,meaning,en,
820,measure,en,
821,measurement,en,
822,mechanic,en,
823,meditation,en,
824,medium,en,
825,megalopolis,en,
826,melancholy,en,
827,mellow,en,
828,melody,en,
829,melon,en,
830,member,en,
831,merger,en,
832,merit,en,
833,mermaid,en,
834,metronome,en,
835,midday,en,
836,middle,en,
837,millimeter,en,
838,mimosa,en,
839,minimum,en,
840,minnow,en,
841,mirage,en,
842,mirror,en,
843,mishap,en,
844,mission,en,
845,mistake,en,
846,mister,en,
847,mixed,en,
848,mobile,en,
849,mobility,en,
850,moderation,en,
851,modernism,en,
852,modest,en,
853,module,en,
854,monolithic,en,
855,monopolist,en,
856,monopoly,en,
857,monotony,en,
858,monoxide,en,
859,mortal,en,
860,mother,en,
861,motion,en,
862,motive,en,
863,movable,en,
864,movie,en,
865,mug,en,
866,mulberry,en,
867,mule,en,
868,multiplicity,en,
869,muscat,en,
870,muscle,en,
871,muse,en,
872,museum,en,
873,mustache,en,
874,mystery,en,
875,myth,en,
876,nail,en,
877,naive,en,
878,name,en,
879,narration,en,
880,narrative,en,
881,narrator,en,
882,nationality,en,
883,native,en,
884,navigation,en,
885,neckline,en,
886,negative,en,
887,nervous,en,
888,nervousness,en,
889,nest,en,
890,network,en,
891,newness,en,
892,newspaper,en,
893,niceness,en,
894,nick,en,
895,nightdress,en,
896,nightmare,en,
897,nip,en,
898,noblesse,en,
899,noise,en,
900,nominee,en,
901,nose,en,
902,nucleus,en,
903,nude,en,
904,nudge,en,
905,nuisance,en,
906,number,en,
907,nutrition,en,
908,nylon,en,
909,oar,en,
910,object,en,
911,objectionable,en,
912,obligation,en,
913,oblivion,en,
914,obviousness,en,
915,occupation,en,
916,occupy,en,
917,oddity,en,
918,odor,en,
919,onion,en,
920,onto,en,
921,open,en,
922,openness,en,
923,opinion,en,
924,opponent,en,
925,opposition,en,
926,optician,en,
927,optimistic,en,
928,option,en,
929,orange,en,
930,orator,en,
931,ordeal,en,
932,ordination,en,
933,ore,en,
934,organs,en,
935,origin,en,
936,originality,en,
937,originator,en,
938,orthodontist,en,
939,outrageousness,en,
940,outset,en,
941,outsider,en,
942,outskirts,en,
943,oval,en,
944,oversee,en,
945,overtaking,en,
946,overwhelming,en,
947,ownership,en,
948,oxidation,en,
949,pacifism,en,
950,padlock,en,
951,pain,en,
952,panties,en,
953,pants,en,
954,paper,en,
955,paprika,en,
956,par,en,
957,parachuting,en,
958,parade,en,
959,paranoid,en,
960,parenthesis,en,
961,parishioner,en,
962,partisan,en,
963,partition,en,
964,patch,en,
965,patent,en,
966,paternity,en,
967,pathway,en,
968,patient,en,
969,patty,en,
970,pavilion,en,
971,payer,en,
972,payoff,en,
973,peach,en,
974,peck,en,
975,peel,en,
976,peephole,en,
977,pelican,en,
978,pencil,en,
979,pendulum,en,
980,penguin,en,
981,penitence,en,
982,perch,en,
983,perfectionist,en,
984,perfume,en,
985,permeate,en,
986,perpetrator,en,
987,perseverance,en,
988,person,en,
989,personality,en,
990,persuasive,en,
991,persuasiveness,en,
992,pessimist,en,
993,petitioner,en,
994,philanthropist,en,
995,phobia,en,
996,phoney,en,
997,photographer,en,
998,physiological,en,
999,piazza,en,
1000,pie,en,
1001,pigeon,en,
1002,pillory,en,
1003,pilot,en,
1004,pineapple,en,
1005,pipeline,en,
1006,piranha,en,
1007,pirate,en,
1008,pistol,en,
1009,pitchfork,en,
1010,pivot,en,
1011,placebo,en,
1012,plan,en,
1013,planetarium,en,
1014,platform,en,
1015,platinum,en,
1016,platoon,en,
1017,plaudits,en,
1018,playwright,en,
1019,pleasure,en,
1020,plum,en,
1021,plumbing,en,
1022,pock,en,
1023,pocket,en,
1024,poised,en,
1025,polarization,en,
1026,politician,en,
1027,pomegranate,en,
1028,pond,en,
1029,pool,en,
1030,poor,en,
1031,pork,en,
1032,potential,en,
1033,practical,en,
1034,practice,en,
1035,prairie,en,
1036,prawn,en,
1037,prayer,en,
1038,precipitation,en,
1039,precision,en,
1040,preoccupation,en,
1041,present,en,
1042,presidential,en,
1043,prestige,en,
1044,presumption,en,
1045,prevailing,en,
1046,prevention,en,
1047,preventive,en,
1048,pride,en,
1049,prince,en,
1050,princess,en,
1051,printing,en,
1052,proceedings,en,
1053,proclamation,en,
1054,product,en,
1055,professorship,en,
1056,programing,en,
1057,prohibition,en,
1058,proliferation,en,
1059,pronunciation,en,
1060,prophet,en,
1061,prosecutor,en,
1062,protest,en,
1063,provocation,en,
1064,pseudo,en,
1065,psychiatrist,en,
1066,psychoanalysis,en,
1067,psychotic,en,
1068,puberty,en,
1069,publication,en,
1070,puff,en,
1071,pundit,en,
1072,purple,en,
1073,puzzle,en,
1074,qualification,en,
1075,quiet,en,
1076,quorum,en,
1077,racecourse,en,
1078,racket,en,
1079,radiance,en,
1080,rafter,en,
1081,rage,en,
1082,ragged,en,
1083,railroad,en,
1084,ranch,en,
1085,ranking,en,
1086,rapidity,en,
1087,rapture,en,
1088,rat,en,
1089,raven,en,
1090,ravine,en,
1091,raw,en,
1092,reaction,en,
1093,reactionary,en,
1094,reactor,en,
1095,reading,en,
1096,rebirth,en,
1097,receiver,en,
1098,recognition,en,
1099,rectify,en,
1100,redemption,en,
1101,reform,en,
1102,reformist,en,
1103,refusal,en,
1104,regression,en,
1105,regrettable,en,
1106,rehearsal,en,
1107,reign,en,
1108,relationship,en,
1109,relaxation,en,
1110,relevance,en,
1111,remoteness,en,
1112,rendition,en,
1113,renewal,en,
1114,renown,en,
1115,rep,en,
1116,repetition,en,
1117,report,en,
1118,repositioning,en,
1119,representation,en,
1120,repression,en,
1121,republic,en,
1122,request,en,
1123,residual,en,
1124,resign,en,
1125,resort,en,
1126,rest,en,
1127,restore,en,
1128,restriction,en,
1129,restructure,en,
1130,retired,en,
1131,retrieval,en,
1132,revolver,en,
1133,ribbon,en,
1134,ridicule,en,
1135,right,en,
1136,rightist,en,
1137,ripple,en,
1138,rite,en,
1139,ritual,en,
1140,rival,en,
1141,robotics,en,
1142,role,en,
1143,rooftop,en,
1144,root,en,
1145,rosemary,en,
1146,round,en,
1147,row,en,
1148,rub,en,
1149,rubbish,en,
1150,ruby,en,
1151,rucksack,en,
1152,rump,en,
1153,runner,en,
1154,safekeeping,en,
1155,salesperson,en,
1156,salvage,en,
1157,salvation,en,
1158,sameness,en,
1159,sanctity,en,
1160,sane,en,
1161,satellite,en,
1162,sauce,en,
1163,scare,en,
1164,scared,en,
1165,scarlet,en,
1166,scholar,en,
1167,schooling,en,
1168,scooter,en,
1169,scoring,en,
1170,scrap,en,
1171,scrawl,en,
1172,screenplay,en,
1173,screwy,en,
1174,scriptwriter,en,
1175,sculptor,en,
1176,scuttle,en,
1177,seaman,en,
1178,search,en,
1179,secretariat,en,
1180,sedation,en,
1181,sediment,en,
1182,segment,en,
1183,select,en,
1184,selectivity,en,
1185,selflessness,en,
1186,semantics,en,
1187,semblance,en,
1188,sense,en,
1189,sensuous,en,
1190,sergeant,en,
1191,seriousness,en,
1192,sermon,en,
1193,serve,en,
1194,server,en,
1195,serving,en,
1196,set,en,
1197,setup,en,
1198,shaft,en,
1199,shed,en,
1200,shedding,en,
1201,sheep,en,
1202,sheepherder,en,
1203,shepherd,en,
1204,shindig,en,
1205,shipwreck,en,
1206,shiver,en,
1207,shopping,en,
1208,shore,en,
1209,shot,en,
1210,showman,en,
1211,shun,en,
1212,sickly,en,
1213,side,en,
1214,sieve,en,
1215,sigh,en,
1216,signature,en,
1217,silence,en,
1218,silk,en,
1219,silver,en,
1220,simplify,en,
1221,simulator,en,
1222,sink,en,
1223,sinus,en,
1224,sixth,en,
1225,sixty,en,
1226,skepticism,en,
1227,skid,en,
1228,skillet,en,
1229,skunk,en,
1230,skyline,en,
1231,slam,en,
1232,slapdash,en,
1233,sleaze,en,
1234,sleuth,en,
1235,slim,en,
1236,slope,en,
1237,slow,en,
1238,smallpox,en,
1239,smile,en,
1240,smoothness,en,
1241,snap,en,
1242,snippet,en,
1243,snitch,en,
1244,snooze,en,
1245,snot,en,
1246,snub,en,
1247,soap,en,
1248,sociable,en,
1249,socialism,en,
1250,socket,en,
1251,sofa,en,
1252,soil,en,
1253,solid,en,
1254,solitude,en,
1255,solstice,en,
1256,somersault,en,
1257,sonny,en,
1258,sophistication,en,
1259,sounding,en,
1260,source,en,
1261,south,en,
1262,sovereignty,en,
1263,sparkling,en,
1264,spasmodic,en,
1265,speciality,en,
1266,specificity,en,
1267,specimen,en,
1268,spectator,en,
1269,speculation,en,
1270,spiral,en,
1271,spirit,en,
1272,spittle,en,
1273,splint,en,
1274,sponge,en,
1275,spontaneity,en,
1276,spontaneous,en,
1277,spore,en,
1278,spots,en,
1279,spout,en,
1280,spruce,en,
1281,squander,en,
1282,squeak,en,
1283,squeal,en,
1284,squirm,en,
1285,squirrel,en,
1286,stability,en,
1287,stain,en,
1288,static,en,
1289,statistic,en,
1290,status,en,
1291,stem,en,
1292,stimulating,en,
1293,stomach,en,
1294,stonework,en,
1295,stopper,en,
1296,storm,en,
1297,stormy,en,
1298,straightaway,en,
1299,straightedge,en,
1300,street,en,
1301,streetcar,en,
1302,strength,en,
1303,stretcher,en,
1304,striker,en,
1305,string,en,
1306,stroke,en,
1307,stroll,en,
1308,studio,en,
1309,stuffing,en,
1310,substitute,en,
1311,subway,en,
1312,succession,en,
1313,suck,en,
1314,suggestion,en,
1315,suitcase,en,
1316,suitor,en,
1317,summation,en,
1318,sunrise,en,
1319,sunset,en,
1320,superficially,en,
1321,superstition,en,
1322,supper,en,
1323,surgeon,en,
1324,surplus,en,
1325,surprise,en,
1326,survey,en,
1327,surveying,en,
1328,swamp,en,
1329,sweat,en,
1330,sweater,en,
1331,sweaty,en,
1332,sweeten,en,
1333,symbol,en,
1334,sympathy,en,
1335,symptom,en,
1336,syndicate,en,
1337,table,en,
1338,tact,en,
1339,tactician,en,
1340,tally,en,
1341,tamp,en,
1342,tango,en,
1343,taper,en,
1344,tapestry,en,
1345,target,en,
1346,tax,en,
1347,taxi,en,
1348,telegraph,en,
1349,telescope,en,
1350,temper,en,
1351,temptation,en,
1352,tenet,en,
1353,territory,en,
1354,testimony,en,
1355,testy,en,
1356,text,en,
1357,thatch,en,
1358,theatre,en,
1359,therapeutics,en,
1360,therapist,en,
1361,thickness,en,
1362,thief,en,
1363,thinker,en,
1364,thought,en,
1365,thread,en,
1366,threat,en,
1367,threshold,en,
1368,throng,en,
1369,thumb,en,
1370,thunder,en,
1371,tights,en,
1372,timetable,en,
1373,timidity,en,
1374,tinker,en,
1375,tint,en,
1376,tiring,en,
1377,titillation,en,
1378,toad,en,
1379,toilsome,en,
1380,tomato,en,
1381,torment,en,
1382,tormentor,en,
1383,torpedo,en,
1384,torrent,en,
1385,torrid,en,
1386,tortilla,en,
1387,toss,en,
1388,tot,en,
1389,total,en,
1390,totalitarianism,en,
1391,touchy,en,
1392,toughness,en,
1393,township,en,
1394,toxic,en,
1395,toxin,en,
1396,tracing,en,
1397,traction,en,
1398,tranquility,en,
1399,transact,en,
1400,transatlantic,en,
1401,transcendence,en,
1402,transcript,en,
1403,transference,en,
1404,transgression,en,
1405,transistor,en,
1406,transition,en,
1407,transport,en,
1408,treatment,en,
1409,treaty,en,
1410,trial,en,
1411,trick,en,
1412,tricky,en,
1413,trio,en,
1414,trip,en,
1415,triviality,en,
1416,trot,en,
1417,trouser,en,
1418,trowel,en,
1419,tuberculosis,en,
1420,tuna,en,
1421,turbot,en,
1422,turbulence,en,
1423,turpitude,en,
1424,turtle,en,
1425,tux,en,
1426,twelveth,en,
1427,twinge,en,
1428,twinkle,en,
1429,twirl,en,
1430,twister,en,
1431,typical,en,
1432,tyranny,en,
1433,tyrant,en,
1434,unburden,en,
1435,uncle,en,
1436,underline,en,
1437,understand,en,
1438,undertow,en,
1439,unfairness,en,
1440,unfaithful,en,
1441,unicycle,en,
1442,unknown,en,
1443,unmistakable,en,
1444,unsuitable,en,
1445,untangle,en,
1446,unveiling,en,
1447,unwieldiness,en,
1448,updating,en,
1449,uptake,en,
1450,uranium,en,
1451,urban,en,
1452,urologist,en,
1453,useless,en,
1454,user,en,
1455,utilization,en,
1456,vagrancy,en,
1457,vague,en,
1458,value,en,
1459,vampire,en,
1460,variance,en,
1461,veil,en,
1462,velocity,en,
1463,velveteen,en,
1464,veneer,en,
1465,venerate,en,
1466,veranda,en,
1467,verdict,en,
1468,vertex,en,
1469,vertically,en,
1470,vertigo,en,
1471,veterinarian,en,
1472,viaduct,en,
1473,victim,en,
1474,victory,en,
1475,view,en,
1476,viewing,en,
1477,villa,en,
1478,village,en,
1479,vinegar,en,
1480,violence,en,
1481,virology,en,
1482,virtually,en,
1483,visibility,en,
1484,visible,en,
1485,vocabulary,en,
1486,vodka,en,
1487,voucher,en,
1488,wager,en,
1489,waistline,en,
1490,waiting,en,
1491,walkout,en,
1492,waltz,en,
1493,warning,en,
1494,warrantee,en,
1495,watchword,en,
1496,weapon,en,
1497,weather,en,
1498,weeping,en,
1499,west,en,
1500,whale,en,
1501,wheeze,en,
1502,whip,en,
1503,whirlpool,en,
1504,whisper,en,
1505,whisperer,en,
1506,whiten,en,
1507,whittle,en,
1508,whiz,en,
1509,wholeness,en,
1510,wicker,en,
1511,wide,en,
1512,widow,en,
1513,will,en,
1514,willful,en,
1515,wind,en,
1516,windbreaker,en,
1517,windscreen,en,
